  uniq   occur  word             strings
     1       1  mama             {'mama 2013 '}
     1       1  mac              {'_mac14_'}
     1       1  lsd              {' lsd-25 '}
     1       1  kink             {'/kink '}
     1       1  job              {'_job_1969.'}
     1       1  guild            {'/guild01 '}
     1       1  good             {' good 2013 '}
     1       1  edge             {' edge 2016.'}
     1       1  dsd              {' dsd65_'}
     1       1  con              {'-con 2015.'}
     1       1  cmk              {'-cmk 0101 '}
     1       1  cav              {' cav_1967-'}
     1       1  blacked          {'/blacked '}
     1       1  bkd              {'/bkd00000.'}
     1       1  bda              {'(5bda3431)'}
     1       1  base             {'/base64('}
     1       1  avr              {'[avr 68]'}
     1       1  ap               {'/ap202007-'}
     1       1  add              {'[add50032]'}
